iter	RMSE
0	0.2245686591
1	0.2142950557
2	0.2076410507
3	0.1997659093
4	0.193450238
5	0.1878734213
6	0.1819309739
7	0.1762845209
8	0.1721077347
9	0.1682315762
10	0.1653230835
11	0.1619448827
12	0.1573871804
13	0.1548031396
14	0.1521371844
15	0.1496295393
16	0.1463746999
17	0.1435607785
18	0.1417594987
19	0.1397655061
20	0.1381356726
21	0.1361744997
22	0.1349564512
23	0.1328022091
24	0.1313348628
25	0.1298144331
26	0.1276585721
27	0.126294332
28	0.1254094891
29	0.1244089946
30	0.1230676739
31	0.1222852464
32	0.1204544442
33	0.1192712865
34	0.1185648672
35	0.1179577812
36	0.1162630744
37	0.1149211782
38	0.1137634942
39	0.1128028577
40	0.1120418175
41	0.1105983006
42	0.1094456476
43	0.1081303356
44	0.1074001643
45	0.1064212034
46	0.1053102046
47	0.1046582303
48	0.1035968329
49	0.1030198938
50	0.1020451384
51	0.1015439774
52	0.1011087599
53	0.100408896
54	0.0999063293
55	0.09944107112
56	0.09890714507
57	0.09776924755
58	0.09712833799
59	0.09575091017
60	0.09545989428
61	0.09457371755
62	0.09367651818
63	0.09306254526
64	0.0925890389
65	0.09195364118
66	0.09139623611
67	0.09098181254
68	0.09014983968
69	0.08942366804
70	0.08864534923
71	0.08816145158
72	0.08737424769
73	0.08675353452
74	0.08577655886
75	0.08539225845
76	0.08464546353
77	0.08407393758
78	0.08378796693
79	0.08325355273
80	0.08297678535
81	0.08235159064
82	0.0819757567
83	0.08169498824
84	0.08102566862
85	0.08048752898
86	0.07991938329
87	0.07928462602
88	0.07881379958
89	0.07795750853
90	0.07699862363
91	0.07646797223
92	0.0760648149
93	0.07569807703
94	0.07527054448
95	0.0750966842
96	0.07437319777
97	0.07380805863
98	0.07351171273
99	0.07326518674
