iter	Passed	Remaining
0	6	692
1	10	518
2	13	435
3	17	419
4	20	387
5	22	355
6	24	329
7	26	304
8	28	284
9	29	267
10	32	264
11	34	251
12	35	240
13	37	229
14	38	219
15	40	210
16	41	203
17	43	196
18	44	189
19	45	183
20	48	181
21	49	177
22	51	172
23	53	168
24	54	163
25	55	159
26	57	155
27	58	151
28	60	147
29	61	143
30	64	142
31	65	139
32	67	136
33	68	133
34	70	130
35	71	127
36	73	124
37	74	121
38	76	118
39	77	116
40	79	114
41	81	112
42	82	109
43	84	107
44	86	105
45	87	102
46	88	100
47	90	98
48	91	95
49	93	93
50	95	91
51	97	89
52	98	87
53	100	85
54	101	83
55	103	80
56	104	78
57	106	76
58	107	74
59	109	72
60	111	71
61	112	69
62	114	67
63	115	65
64	117	63
65	118	61
66	120	59
67	121	57
68	123	55
69	124	53
70	127	51
71	128	50
72	130	48
73	131	46
74	133	44
75	134	42
76	135	40
77	137	38
78	138	36
79	140	35
80	142	33
81	144	31
82	145	29
83	147	28
84	148	26
85	150	24
86	151	22
87	153	20
88	154	19
89	155	17
90	157	15
91	159	13
92	161	12
93	162	10
94	164	8
95	165	6
96	167	5
97	168	3
98	170	1
99	171	0
